network,mean_bc,std_bc,m_bc,M_bc,mean_cc,std_cc,m_cc,M_cc,mean_cl,std_cl,m_cl,M_cl,mean_ds,std_ds,m_ds,M_ds,mean_sv,std_sv,m_sv,M_sv,diameter,,
ba_033.csv,0.003600182,0.008337525,0,0.098344176,0.219689728,0.023173898,0.17259848,0.311021171,0.007973293,0.06856966,0,1,3.992,3.318576344,2,35,1.57977765,1.223234473,1.69E-17,7.985954025,8,,
ba_034.csv,0.002851818,0.005122744,6.89E-05,0.048048866,0.261573966,0.023422602,0.216327415,0.359611231,0.010318579,0.044488494,0,0.666666667,5.982,4.241894585,3,33,1.95557092,1.468925586,3.06E-05,10.60470589,6,,
ba_035.csv,0.002794511,0.006140859,3.05E-05,0.0862974,0.265599925,0.024295998,0.216655823,0.385714286,0.012172434,0.047865612,0,0.666666667,5.982,4.568867535,3,49,1.94740861,1.479729605,0.001396067,11.36963308,6,,
ba_036.csv,0.002844521,0.005103063,0.000106001,0.065827903,0.262107213,0.0236189,0.215116279,0.370411568,0.00974085,0.036443766,0,0.333333333,5.982,4.256029815,3,39,1.955364192,1.469200761,0.002535969,10.48905759,6,,
ba_037.csv,0.002834839,0.005357109,0.000126018,0.07799865,0.262775214,0.023794873,0.21656189,0.373178932,0.011529523,0.043832149,0,0.333333333,5.982,4.346558244,3,44,1.953089133,1.472223774,0.00086195,10.71838761,6,,
ba_038.csv,0.002816036,0.005297166,8.07E-05,0.075728564,0.263988418,0.023364162,0.208603049,0.368498709,0.011434324,0.043644928,0,0.333333333,5.982,4.421224177,3,44,1.943385319,1.485009597,0.001596897,10.59607051,7,,
ba_039.csv,0.002835778,0.00531601,0.000118473,0.059723598,0.262704667,0.023759745,0.218074656,0.366336634,0.013014669,0.048603184,0,0.333333333,5.982,4.279250868,3,35,1.956952755,1.467084155,0.001445231,10.65198272,6,,
ba_040.csv,0.002806753,0.00581589,9.01E-05,0.075678369,0.264788044,0.024325934,0.215301724,0.37429749,0.012626742,0.042538221,0,0.333333333,5.982,4.515092697,3,43,1.951827634,1.47389582,0.001384261,10.90813009,6,,
ba_041.csv,0.002816953,0.00570583,9.98E-05,0.077984836,0.264061275,0.024162864,0.215069968,0.377123443,0.012752562,0.045807724,0,0.333333333,5.982,4.512209662,3,45,1.950177799,1.476078099,0.001860616,11.09738391,6,,
ba_042.csv,0.002808328,0.005918901,0.000108736,0.068188717,0.264763905,0.024859595,0.21656189,0.378983308,0.014549467,0.048308164,0,0.333333333,5.982,4.608135297,3,42,1.947540028,1.479556636,0.0010253,11.27711504,6,,
